abort			媒體加載中止時發生該事件
afterprint		當頁面開始列印時，或者關閉列印對話框時，發生此事件
animationend		CSS動畫完成時發生此事件
animationiteration	重複CSS動畫時發生此事件
animationstart		CSS動畫開始時發生此事件
beforeprint		該事件在將要列印頁面時發生
beforeunload		該事件發生在文件即將被卸載之前
blur			當元素失去焦點時發生該事件
canplay			當瀏覽器可以開始播放媒體時(當它有足夠的緩衝來開始播放時)，將發生此事件
canplaythrough		當瀏覽器可以在不停止緩衝的情況下播放媒體時發生此事件
change			當表單元素，選擇或選中狀態的內容發生更改(對於<input>，<select>和<textarea>)時，將發生此事件
click			當用戶單擊元素時發生事件
contextmenu		當用戶右按鍵單擊某個元素以打開上下文選單時，將發生該事件
copy			當用戶複製元素的內容時發生該事件
cut			當用戶剪切元素的內容時發生該事件
dblclick		當用戶雙擊元素時發生事件
drag			拖動元素時發生事件
dragend			當用戶完成拖動元素時，發生該事件
dragenter		當拖動的元素進入放置目標時，將發生事件
dragleave		當拖動的元素離開放置目標時發生事件
dragover		當拖動的元素超過放置目標時，發生事件
dragstart		當用戶開始拖動元素時發生該事件
drop			當將拖動的元素放置在放置目標上時，發生事件
durationchange		更改媒體的持續時間時發生此事件
ended			該事件在媒體播放到盡頭時發生(對於"感謝收聽"之類的消息很有用)
error			加載外部文件時發生錯誤時發生事件
focus			該事件在元素獲得焦點時發生
focusin			該事件在某個元素即將獲得焦點時發生
focusout		該事件在某個元素即將失去焦點時發生
fullscreenchange	以全螢幕模式顯示元素時發生事件
fullscreenerror		當元素無法以全螢幕模式顯示時，發生該事件
hashchange		當URL的錨點部分發生更改時，將發生此事件
input			當元素獲得用戶輸入時發生事件
invalid			當元素無效時發生
keydown			該事件在用戶按下某個按鍵時發生
keypress		當用戶按下一個按鍵時發生事件
keyup			當用戶釋放按鍵時發生該事件
load			該事件在對象加載後發生
loadeddata		加載媒體數據時發生事件
loadedmetadata		加載元數據(如維度和持續時間)時發生此事件
loadstart		當瀏覽器開始查找指定的媒體時發生該事件
message			通過事件源接收到消息時發生事件
mousedown		當用戶在元素上按下鼠標按鈕時，發生事件
mouseenter		當指針移動到元素上時，發生該事件
mouseleave		當指針從元素中移出時發生該事件
mousemove		當指針在元素上方移動時發生該事件
mouseover		當指針移動到元素或其子元素之一上時，發生此事件
mouseout		當用戶將鼠標指針移出某個元素或其子元素之一時，將發生此事件
mouseup			當用戶在元素上釋放鼠標按鈕時，將發生此事件
mousewheel		不推薦使用。改用wheel事件
offline			當瀏覽器開始離線工作時發生該事件
online			當瀏覽器開始在線工作時發生該事件
open			打開與事件源的連接時，將發生該事件
pagehide		當用戶離開網頁連結時發生該事件
pageshow		當用戶連結到網頁時發生事件
paste			當用戶將某些內容粘貼到元素中時，發生該事件
pause			當用戶或以編程方式暫停媒體時，發生該事件
play			當媒體已啟動或不再暫停時發生該事件
playing			在暫停或停止緩衝媒體後播放媒體時發生該事件
popstate		窗口的歷史記錄更改時發生事件
progress		當瀏覽器正在獲取媒體數據(下載媒體)的過程中發生該事件
ratechange		更改媒體的播放速度時發生此事件
resize			調整文本視窗大小時發生此事件
reset			該事件在重置表單時發生
scroll			滾動元素的滾動卷軸時發生事件
search			當用戶在搜索字段中輸入內容時(對於<input ="search">)，將發生此事件
seeked			當用戶完成移動/跳至媒體中的新位置時發生該事件
seeking			當用戶開始移動/跳到媒體中的新位置時發生該事件
select			用戶選擇某些文本(對於<input>和<textarea>)後發生該事件
show			當<menu>元素顯示為上下文選單時，事件發生
stalled			當瀏覽器嘗試獲取媒體數據但數據不可用時，發生該事件
storage			更新Web存儲區域時發生該事件
submit			該事件在提交表單時發生
suspend			當瀏覽器有意不獲取媒體數據時發生此事件
timeupdate		當播放位置更改時(例如，當用戶快速前進到媒體中的另一個點時)發生該事件
toggle			當用戶打開或關閉<details>元素時發生該事件
touchcancel		觸摸中斷時發生事件
touchend		當手指從觸碰螢幕上移開時發生該事件
touchmove		當手指在觸碰螢幕上拖動時發生事件
touchstart		當手指放在觸碰螢幕上時發生事件
transitionend		CSS轉換完成時發生此事件
unload			頁面卸載後發生的事件(對於)
volumechange		當媒體的音量已更改(包括將音量設置為"靜音")時發生該事件
waiting			當媒體已暫停但預期會恢復時(如媒體暫停以緩衝更多數據時)，將發生此事件
wheel			當鼠標滾輪在某個元素上下滾動時，會發生此事件
